,Species,BodyWt,BrainWt,NonDreaming,Dreaming,TotalSleep,LifeSpan,Gestation,Predation,Exposure,Danger
0,Africanelephant,6654.0,5712.0,,,3.3,38.6,645.0,3,5,3
1,Africangiantpouchedrat,1.0,6.6,6.3,2.0,8.3,4.5,42.0,3,1,3
2,ArcticFox,3.385,44.5,,,12.5,14.0,60.0,1,1,1
3,Arcticgroundsquirrel,0.92,5.7,,,16.5,,25.0,5,2,3
4,Asianelephant,2547.0,4603.0,2.1,1.8,3.9,69.0,624.0,3,5,4
5,Baboon,10.55,179.5,9.1,0.7,9.8,27.0,180.0,4,4,4
6,Bigbrownbat,0.023,0.3,15.8,3.9,19.7,19.0,35.0,1,1,1
7,Braziliantapir,160.0,169.0,5.2,1.0,6.2,30.4,392.0,4,5,4
8,Cat,3.3,25.6,10.9,3.6,14.5,28.0,63.0,1,2,1
9,Chimpanzee,52.16,440.0,8.3,1.4,9.7,50.0,230.0,1,1,1
10,Chinchilla,0.425,6.4,11.0,1.5,12.5,7.0,112.0,5,4,4
11,Cow,465.0,423.0,3.2,0.7,3.9,30.0,281.0,5,5,5
12,Deserthedgehog,0.55,2.4,7.6,2.7,10.3,,,2,1,2
13,Donkey,187.1,419.0,,,3.1,40.0,365.0,5,5,5
14,EasternAmericanmole,0.075,1.2,6.3,2.1,8.4,3.5,42.0,1,1,1
15,Echidna,3.0,25.0,8.6,0.0,8.6,50.0,28.0,2,2,2
16,Europeanhedgehog,0.785,3.5,6.6,4.1,10.7,6.0,42.0,2,2,2
17,Galago,0.2,5.0,9.5,1.2,10.7,10.4,120.0,2,2,2
18,Genet,1.41,17.5,4.8,1.3,6.1,34.0,,1,2,1
19,Giantarmadillo,60.0,81.0,12.0,6.1,18.1,7.0,,1,1,1
20,Giraffe,529.0,680.0,,0.3,,28.0,400.0,5,5,5
21,Goat,27.66,115.0,3.3,0.5,3.8,20.0,148.0,5,5,5
22,Goldenhamster,0.12,1.0,11.0,3.4,14.4,3.9,16.0,3,1,2
23,Gorilla,207.0,406.0,,,12.0,39.3,252.0,1,4,1
24,Grayseal,85.0,325.0,4.7,1.5,6.2,41.0,310.0,1,3,1
25,Graywolf,36.33,119.5,,,13.0,16.2,63.0,1,1,1
26,Groundsquirrel,0.101,4.0,10.4,3.4,13.8,9.0,28.0,5,1,3
27,Guineapig,1.04,5.5,7.4,0.8,8.2,7.6,68.0,5,3,4
28,Horse,521.0,655.0,2.1,0.8,2.9,46.0,336.0,5,5,5
29,Jaguar,100.0,157.0,,,10.8,22.4,100.0,1,1,1
30,Kangaroo,35.0,56.0,,,,16.3,33.0,3,5,4
31,Lessershort-tailedshrew,0.005,0.14,7.7,1.4,9.1,2.6,21.5,5,2,4
32,Littlebrownbat,0.01,0.25,17.9,2.0,19.9,24.0,50.0,1,1,1
33,Man,62.0,1320.0,6.1,1.9,8.0,100.0,267.0,1,1,1
34,Molerat,0.122,3.0,8.2,2.4,10.6,,30.0,2,1,1
35,Mountainbeaver,1.35,8.1,8.4,2.8,11.2,,45.0,3,1,3
36,Mouse,0.023,0.4,11.9,1.3,13.2,3.2,19.0,4,1,3
37,Muskshrew,0.048,0.33,10.8,2.0,12.8,2.0,30.0,4,1,3
38,NAmericanopossum,1.7,6.3,13.8,5.6,19.4,5.0,12.0,2,1,1
39,Nine-bandedarmadillo,3.5,10.8,14.3,3.1,17.4,6.5,120.0,2,1,1
40,Okapi,250.0,490.0,,1.0,,23.6,440.0,5,5,5
41,Owlmonkey,0.48,15.5,15.2,1.8,17.0,12.0,140.0,2,2,2
42,Patasmonkey,10.0,115.0,10.0,0.9,10.9,20.2,170.0,4,4,4
43,Phanlanger,1.62,11.4,11.9,1.8,13.7,13.0,17.0,2,1,2
44,Pig,192.0,180.0,6.5,1.9,8.4,27.0,115.0,4,4,4
45,Rabbit,2.5,12.1,7.5,0.9,8.4,18.0,31.0,5,5,5
46,Raccoon,4.288,39.2,,,12.5,13.7,63.0,2,2,2
47,Rat,0.28,1.9,10.6,2.6,13.2,4.7,21.0,3,1,3
48,Redfox,4.235,50.4,7.4,2.4,9.8,9.8,52.0,1,1,1
49,Rhesusmonkey,6.8,179.0,8.4,1.2,9.6,29.0,164.0,2,3,2
50,Rockhyrax(Heterob),0.75,12.3,5.7,0.9,6.6,7.0,225.0,2,2,2
51,Rockhyrax(Procaviahab),3.6,21.0,4.9,0.5,5.4,6.0,225.0,3,2,3
52,Roedeer,14.83,98.2,,,2.6,17.0,150.0,5,5,5
53,Sheep,55.5,175.0,3.2,0.6,3.8,20.0,151.0,5,5,5
54,Slowloris,1.4,12.5,,,11.0,12.7,90.0,2,2,2
55,Starnosedmole,0.06,1.0,8.1,2.2,10.3,3.5,,3,1,2
56,Tenrec,0.9,2.6,11.0,2.3,13.3,4.5,60.0,2,1,2
57,Treehyrax,2.0,12.3,4.9,0.5,5.4,7.5,200.0,3,1,3
58,Treeshrew,0.104,2.5,13.2,2.6,15.8,2.3,46.0,3,2,2
59,Vervet,4.19,58.0,9.7,0.6,10.3,24.0,210.0,4,3,4
60,Wateropossum,3.5,3.9,12.8,6.6,19.4,3.0,14.0,2,1,1
61,Yellow-belliedmarmot,4.05,17.0,,,,13.0,38.0,3,1,1
